4724,,,,,,,,,,,,,,,,385,424,578,568,,NATIONAL AVERAGE:,,"$8,259",382,140,29,3,2,91,33,18,72,121,7,8,13,8,1,36,6,12,20,1,50,10,
Name,Charter #,Peer Group,Metropolitan Statistical Area,City,Country,State / Prov,Region,$ Total Assets,Asset Class,# Members,$ Total Share Deposits,# Share Deposit Accounts,$ Total Loans,# Loan Accounts,% Loans to Shares,CDCU?,CDFI?,CDCU / CDFI,HPCU,$ Average Assets per Member,# Average Accounts per Member,$ Net Earnings per Member,$ Average Balance per Account,Target,Fall 2025    Target,Reached out to?,Sponsor,On Advisory Board,Invests in Curql?,Invests Directly in Startups?,Works with Early Startups?,MDC Owner?,Juntos Avanzamos?,Fintech Accel?,Purchasing Banks?,Merging?,CUs Unite?,Interim CEO?,New CEO?,Tech Forward?,Tech Curious?,We Have Connections?,Showed Coalition Interest?,Active Coalition Member Nearby?,Talked to Us Before?,Notes?
USALLIANCE FCU (USALLIANCE Financial),17587,6,New York,Rye,USA,NY,Mid-Atlantic,"$3,150,621,593",Large,"179,325","$2,096,449,060","281,996","$2,754,962,223","52,305",131.4%,Y,,Y,,"$17,569",1.86,$36.75,"$14,512",Y,Y,,,,Y,,,,Y,,,,,,,,,,,,,
Pen Air CU,68734,6,Pensacola,,USA,FL,Southeast,"$3,119,475,394",Large,"127,525","$2,295,345,961","297,390","$1,505,645,232","68,868",65.6%,,,,Y,"$24,462",2.87,$14.00,"$10,378",Y,Y,Y,,,,,,Y,,,,,,,,,,,,,,
Advia CU,61503,6,Kalamazoo,,USA,MI,Midwest,"$3,097,076,532",Large,"196,118","$2,576,647,707","374,486","$2,297,351,005","96,072",89.2%,Y,,Y,,"$15,792",2.40,$18.40,"$10,358",Y,Y,,,,,,,,,,,,,,,,,,,,,
Rockland,24224,6,Rockland,,USA,MA,New England,"$3,059,777,670",Large,"199,162","$2,574,378,033","254,333","$2,775,857,802","105,992",107.8%,,,,,"$15,363",1.81,$19.27,"$14,848",,,,,,,,,,,,,,,,,,,,,,,
Utah Community,10709,6,Provo,,USA,UT,Western,"$3,045,644,614",Large,"238,758","$2,661,070,438","529,956","$2,522,093,577","92,923",94.8%,,,,Y,"$12,756",2.61,$36.15,"$8,321",,,,,,,,,,,,,,,,,,,,,,,
EastRise CU,19263,6,Burlington,Williston,USA,VT,New England,"$3,024,266,735",Large,"167,708","$2,466,327,516","290,692","$2,427,214,089","68,471",98.4%,,,,,"$18,033",2.14,$25.98,"$13,625",Y,,,,,Y,,,Y,,,,,,,,,,,,,,
Vantage West CU,68558,6,Tucson,,USA,AZ,Western,"$3,020,745,568",Large,"186,531","$2,457,869,119","345,107","$2,083,941,371","107,556",84.8%,,Y,Y,,"$16,194",2.43,$63.79,"$10,034",,,,,,Y,,,,Y,,,,,,,,,,,,,
Sound CU (WA),66331,6,Tacoma,,USA,WA,Cascadia,"$2,981,639,306",Large,"174,211","$2,478,292,719","328,087","$2,232,286,711","83,412",90.1%,Y,,Y,,"$17,115",2.36,$19.40,"$11,447",,,,,,Y,,,Y,,,Y,,,,,,,,,,,
Addition Financial CU,68702,6,Orlando,Lake Mary,USA,FL,Southeast,"$2,977,001,131",Large,"179,464","$2,427,326,517","397,371","$1,979,730,768","90,391",81.6%,,,,Y,"$16,588",2.72,$22.87,"$9,035",Y,,,,,,,,,,,,,,,,,,,,Y,,
Chartway CU,13242,6,Virginia Beach,,USA,VA,Mid-Atlantic,"$2,968,708,573",Large,"237,592","$2,514,480,611","385,936","$2,292,023,998","140,258",91.2%,Y,,Y,,"$12,495",2.21,$28.15,"$9,134",,,,,,,,,,,,,,,,,,,,,,,
