4724,,,,,,,,,,,,,,,,385,424,578,568,,NATIONAL AVERAGE:,,"$8,259",382,140,29,3,2,91,33,18,72,121,7,8,13,8,1,36,6,12,20,1,50,10,
Name,Charter #,Peer Group,Metropolitan Statistical Area,City,Country,State / Prov,Region,$ Total Assets,Asset Class,# Members,$ Total Share Deposits,# Share Deposit Accounts,$ Total Loans,# Loan Accounts,% Loans to Shares,CDCU?,CDFI?,CDCU / CDFI,HPCU,$ Average Assets per Member,# Average Accounts per Member,$ Net Earnings per Member,$ Average Balance per Account,Target,Fall 2025    Target,Reached out to?,Sponsor,On Advisory Board,Invests in Curql?,Invests Directly in Startups?,Works with Early Startups?,MDC Owner?,Juntos Avanzamos?,Fintech Accel?,Purchasing Banks?,Merging?,CUs Unite?,Interim CEO?,New CEO?,Tech Forward?,Tech Curious?,We Have Connections?,Showed Coalition Interest?,Active Coalition Member Nearby?,Talked to Us Before?,Notes?
Tex Mex,67579,3,Laredo,,USA,TX,South Central,"$10,191,600",Very Small,"3,954","$7,176,349","4,590","$6,448,807",986,89.9%,,,,,"$2,578",1.41,$8.60,"$2,444",,,,,,,,,,,,,,,,,,,,,,,
Watertown Municipal,67615,3,Watertown,,USA,MA,New England,"$10,164,439",Very Small,694,"$6,721,675",764,"$3,323,418",144,49.4%,,,,,"$14,646",1.31,$19.02,"$11,063",,,,,,,,,,,,,,,,,,,,,,,
Cn/ic Employees,68069,3,Memphis,,USA,TN,Southeast,"$10,152,325",Very Small,"1,148","$8,361,671","2,037","$6,926,738",609,82.8%,,,,,"$8,843",2.30,-$11.16,"$5,778",,,,,,,,,,,,,,,,,,,,,,,
Biloxi Teachers,16699,3,Biloxi,,USA,MS,Southeast,"$10,137,104",Very Small,"1,257","$8,701,951","1,361","$4,651,123",430,53.4%,,,,,"$8,065",1.42,$9.29,"$7,456",,,,,,,,,,,,,,,,,,,,,,,
Arlington Municipal,9805,3,Arlington,,USA,MA,New England,"$10,131,657",Very Small,935,"$7,284,816",945,"$9,079,975",418,124.6%,,,,,"$10,836",1.46,$36.73,"$12,006",,,,,,,,,,,,,,,,,,,,,,,
Blue Flame,64644,3,Mobile,,USA,AL,Southeast,"$10,109,253",Very Small,784,"$8,372,611","1,297","$4,614,181",390,55.1%,,,,,"$12,894",2.15,$45.14,"$7,698",,,,,,,,,,,,,,,,,,,,,,,
Sing Sing Employees,4441,3,Briarcliff Mano,,USA,NY,Mid-Atlantic,"$10,109,207",Very Small,"1,340","$8,495,025","1,778","$3,994,461",400,47.0%,,,,,"$7,544",1.63,-$0.19,"$5,734",,,,,,,,,,,,,,,,,,,,,,,
Mississippi Dhs,8052,3,Jackson,,USA,MS,Southeast,"$10,055,600",Very Small,"2,121","$8,562,988","3,554","$4,471,420",832,52.2%,,,,,"$4,741",2.07,$4.69,"$2,972",,,,,,,,,,,,,,,,,,,,,,,
Birmingham City,64528,3,Birmingham,,USA,AL,Southeast,"$10,053,674",Very Small,"2,489","$8,034,436","3,082","$7,396,632","1,361",92.1%,Y,Y,Y,,"$4,039",1.79,$7.18,"$3,473",,,,,,,,,,,,,,,,,,,,,,,
Hoboken N J Police,9075,3,Hoboken,,USA,NJ,Mid-Atlantic,"$10,042,715",Very Small,783,"$7,453,939",958,"$6,752,062",284,90.6%,,,,,"$12,826",1.59,$23.36,"$11,438",,,,,,,,,,,,,,,,,,,,,,,
North Western Employees,64282,3,Council Bluffs,,USA,IA,Midwest,"$10,033,372",Very Small,"1,234","$8,057,025","1,698","$4,983,731",591,61.9%,,,,,"$8,131",1.85,$32.47,"$5,697",,,,,,,,,,,,,,,,,,,,,,,
Ure,986,2,East Pittsburgh,,USA,PA,Mid-Atlantic,"$9,991,297",Very Small,"1,015","$8,191,712","1,552","$5,029,105",605,61.4%,,,,,"$9,844",2.13,$21.78,"$6,129",,,,,,,,,,,,,,,,,,,,,,,
Kankakee Federation Of Teachers,60198,2,Kankakee,,USA,IL,Midwest,"$9,974,177",Very Small,"1,303","$8,720,465","1,467","$7,742,208",757,88.8%,,,,,"$7,655",1.71,$32.60,"$7,402",,,,,,,,,,,,,,,,,,,,,,,
Chicago Area Office,5045,2,Chicago,,USA,IL,Midwest,"$9,959,184",Very Small,"1,332","$7,806,991","1,718","$2,864,455",532,36.7%,,,,,"$7,477",1.69,-$39.56,"$4,743",,,,,,,,,,,,,,,,,,,,,,,
Sweetex,67520,2,Longview,,USA,TX,South Central,"$9,934,035",Very Small,763,"$6,360,338",781,"$3,400,898",184,53.5%,,,,,"$13,020",1.26,$4.79,"$10,115",,,,,,,,,,,,,,,,,,,,,,,
Reeves County Teachers,61532,2,Pecos,,USA,TX,South Central,"$9,922,738",Very Small,"1,357","$8,245,199","1,228","$7,616,303",451,92.4%,,,,,"$7,312",1.24,$0.91,"$9,447",,,,,,,,,,,,,,,,,,,,,,,
Va Beach Postal,15536,2,Virginia Beach,,USA,VA,Mid-Atlantic,"$9,915,420",Very Small,"1,119","$8,755,287","1,956","$4,978,740",861,56.9%,,,,,"$8,861",2.52,$11.70,"$4,875",,,,,,,,,,,,,,,,,,,,,,,
Whitewater Regional,3536,2,Connersville,,USA,IN,Midwest,"$9,910,587",Very Small,"1,569","$8,851,366","2,927","$7,076,147",878,79.9%,,,,,"$6,316",2.43,-$60.77,"$4,186",,,,,,,,,,,,,,,,,,,,,,,
Middletown Area Schools,62877,2,Middletown,,USA,OH,Midwest,"$9,905,083",Very Small,997,"$8,554,823","1,650","$5,206,015",631,60.9%,,,,,"$9,935",2.29,$49.68,"$6,033",,,,,,,,,,,,,,,,,,,,,,,
Redlands City Employees,9778,2,Redlands,,USA,CA,Western,"$9,889,415",Very Small,725,"$7,707,577",762,"$5,548,464",293,72.0%,,,,,"$13,641",1.46,$95.40,"$12,565",,,,,,,,,,,,,,,,,,,,,,,
Treasury Employees,5780,2,Jackson,,USA,MS,Southeast,"$9,871,102",Very Small,459,"$8,818,825",538,"$1,890,607",150,21.4%,,,,,"$21,506",1.50,-$27.04,"$15,566",,,,,,,,,,,,,,,,,,,,,,,
"Metropolitan ""l""",2370,2,Oak Park,,USA,IL,Midwest,"$9,870,361",Very Small,"1,087","$8,344,356","1,941","$2,015,040",536,24.1%,,,,,"$9,080",2.28,$12.68,"$4,182",,,,,,,,,,,,,,,,,,,,,,,
Bloomfield Fire And Police,7069,2,Bloomfield,,USA,NJ,Mid-Atlantic,"$9,870,246",Very Small,"1,304","$8,423,541","1,701","$7,713,856",539,91.6%,,,,,"$7,569",1.72,-$36.21,"$7,204",,,,,,,,,,,,,,,,,,,,,,,
Regional Members,376,2,Columbus,,USA,GA,Southeast,"$9,869,754",Very Small,"1,275","$8,628,584","1,642","$6,338,382",450,73.5%,,,,,"$7,741",1.64,$36.24,"$7,154",,,,,,,,,,,,,,,,,,,,,,,
A T & T Employees Pittsburgh,200,2,Pittsburgh,,USA,PA,Mid-Atlantic,"$9,858,973",Very Small,926,"$7,170,265","1,386","$3,897,150",303,54.4%,,,,,"$10,647",1.82,$15.32,"$6,553",,,,,,,,,,,,,,,,,,,,,,,
Aldersgate,15062,2,Marion,,USA,IL,Midwest,"$9,857,140",Very Small,798,"$8,504,921",832,"$9,394,365",584,110.5%,,,,,"$12,352",1.77,$4.45,"$12,641",,,,,,,,,,,,,,,,,,,,,,,
Healthplus,5930,2,Jackson,,USA,MS,Southeast,"$9,835,601",Very Small,"2,874","$6,566,037","2,820","$8,664,813","1,095",132.0%,,,,,"$3,422",1.36,$8.62,"$3,890",,,,,,,,,,,,,,,,,,,,,,,
Baltimore Washington,20719,2,Glen Burnie,,USA,MD,Mid-Atlantic,"$9,817,244",Very Small,"1,479","$9,069,737","2,238","$4,059,200",425,44.8%,,,,,"$6,638",1.80,-$9.45,"$4,930",,,,,,,,,,,,,,,,,,,,,,,
Arkansas Health Center,8987,2,Benton,,USA,AR,South Central,"$9,812,930",Very Small,"1,107","$8,497,830","1,792","$6,549,237",444,77.1%,,,,,"$8,864",2.02,$41.66,"$6,729",,,,,,,,,,,,,,,,,,,,,,,
North Carolina Press Association,24140,2,Raleigh,,USA,NC,Southeast,"$9,788,224",Very Small,"1,340","$8,077,225","2,124","$2,341,146",309,29.0%,,,,,"$7,305",1.82,$40.23,"$4,282",,,,,,,,,,,,,,,,,,,,,,,
P.s.e. & G. Nuclear Employees,24226,2,Hancocks Bridge,,USA,NJ,Mid-Atlantic,"$9,768,595",Very Small,"1,059","$8,435,382","1,673","$5,839,710",403,69.2%,,,,,"$9,224",1.96,-$17.83,"$6,876",,,,,,,,,,,,,,,,,,,,,,,
Morton,24511,2,Taunton,,USA,MA,New England,"$9,752,765",Very Small,"1,045","$8,813,955","1,771","$4,388,666",221,49.8%,,,,,"$9,333",1.91,$25.15,"$6,628",,,,,,,,,,,,,,,,,,,,,,,
Colquitt County Teacher,11996,2,Moultrie,,USA,GA,Southeast,"$9,742,040",Very Small,"1,832","$7,708,316","2,707","$6,858,160",828,89.0%,,,,,"$5,318",1.93,$17.37,"$4,121",,,,,,,,,,,,,,,,,,,,,,,
PUD FCU,4509,2,Longview,,USA,WA,Cascadia,"$9,702,535",Very Small,749,"$8,292,093","1,033","$5,598,293",442,67.5%,,,,,"$12,954",1.97,$0.15,"$9,417",,,,,,,,,,,,,,,,,,,,,,,
Deer Lodge County School Emp,10857,2,Anaconda,,USA,MT,Cascadia,"$9,684,793",Very Small,469,"$8,696,236",676,"$2,693,163",225,31.0%,,,,,"$20,650",1.92,$76.14,"$12,641",,,,,,,,,,,,,,,,,,,,,,,
First Pace,64089,2,West St Paul,,USA,MN,Midwest,"$9,657,354",Very Small,952,"$7,822,745","1,374","$6,047,363",361,77.3%,,,,,"$10,144",1.82,-$27.51,"$7,994",,,,,,,,,,,,,,,,,,,,,,,
Woodmen,16,2,Omaha,,USA,NE,Midwest,"$9,656,630",Very Small,900,"$8,380,331","1,536","$3,901,475",280,46.6%,,,,,"$10,730",2.02,$5.99,"$6,763",,,,,,,,,,,,,,,,,,,,,,,
St. Elizabeth,65477,2,Northampton,,USA,PA,Mid-Atlantic,"$9,637,296",Very Small,500,"$7,324,786",638,"$953,367",63,13.0%,,,,,"$19,275",1.40,-$408.79,"$11,809",,,,,,,,,,,,,,,,,,,,,,,
Finans,1457,2,Hammond,,USA,IN,Midwest,"$9,624,394",Very Small,"1,746","$8,579,928","2,408","$2,772,307",393,32.3%,,,,,"$5,512",1.60,$3.70,"$4,053",,,,,,,,,,,,,,,,,,,,,,,
South Central Missouri,64222,2,Willow Springs,,USA,MO,South Central,"$9,571,931",Very Small,"1,953","$8,139,411","2,012","$4,914,694",386,60.4%,,,,,"$4,901",1.23,-$2.54,"$5,444",,,,,,,,,,,,,,,,,,,,,,,
Summit Hampton Roads,19973,2,Norfolk,,USA,VA,Mid-Atlantic,"$9,521,797",Very Small,"1,296","$8,087,803","2,440","$5,003,868",479,61.9%,,,,,"$7,347",2.25,-$7.33,"$4,485",,,,,,,,,,,,,,,,,,,,,,,
Aps,838,2,Charleroi,,USA,PA,Mid-Atlantic,"$9,514,063",Very Small,"1,126","$8,744,153","1,773","$6,758,919",791,77.3%,,,,,"$8,449",2.28,$7.62,"$6,046",,,,,,,,,,,,,,,,,,,,,,,
E M O T,9457,2,Abilene,,USA,TX,South Central,"$9,513,730",Very Small,690,"$6,045,827",505,"$2,735,324",435,45.2%,,,,,"$13,788",1.36,$42.15,"$9,342",,,,,,,,,,,,,,,,,,,,,,,
Community First Fund,24928,2,Lancaster,,USA,PA,Mid-Atlantic,"$9,508,844",Very Small,700,"$4,617,406","1,417","$2,195,618",127,47.6%,Y,,Y,,"$13,584",2.21,$109.00,"$4,413",,,,,,,,,,,,,,,,,,,,,,,
Arbuckle,24843,2,Ada,,USA,OK,South Central,"$9,464,702",Very Small,929,"$8,077,625","1,317","$7,133,215",563,88.3%,,Y,Y,,"$10,188",2.02,$20.42,"$8,091",,,,,,,,,,,,,,,,,,,,,,,
Crayola Llc Employees Credit Union,24850,2,Easton,,USA,PA,Mid-Atlantic,"$9,449,907",Very Small,847,"$7,796,793","1,164","$3,145,973",81,40.3%,,,,,"$11,157",1.47,$46.58,"$8,789",,,,,,,,,,,,,,,,,,,,,,,
Pace,11323,2,Huntington,,USA,WV,Mid-Atlantic,"$9,444,696",Very Small,"1,200","$8,291,069","1,589","$5,590,346",582,67.4%,,,,,"$7,871",1.81,$23.41,"$6,394",,,,,,,,,,,,,,,,,,,,,,,
Yoakum County,6472,2,Plains,,USA,TX,South Central,"$9,440,157",Very Small,"1,038","$7,381,297","1,103","$4,847,977",356,65.7%,,,,,"$9,095",1.41,$10.93,"$8,382",,,,,,,,,,,,,,,,,,,,,,,
State Agencies,8006,2,Shreveport,,USA,LA,Southeast,"$9,425,249",Very Small,710,"$6,328,525","1,004","$4,546,373",407,71.8%,,,,,"$13,275",1.99,$43.30,"$7,707",,,,,,,,,,,,,,,,,,,,,,,
Back Mountain,21458,2,Shavertown,,USA,PA,Mid-Atlantic,"$9,390,853",Very Small,311,"$7,581,568","1,020","$3,545,368",382,46.8%,,,,,"$30,196",4.51,$26.36,"$7,936",,,,,,,,,,,,,,,,,,,,,,,
Local No. 317 I.a.f.f.,68113,2,Charleston,,USA,WV,Mid-Atlantic,"$9,380,587",Very Small,422,"$8,467,566",422,"$5,310,393",326,62.7%,,,,,"$22,229",1.77,$191.40,"$18,420",,,,,,,,,,,,,,,,,,,,,,,
Cta-74th Street Depot,2498,2,Chicago,,USA,IL,Midwest,"$9,371,356",Very Small,696,"$7,807,434",696,"$3,534,242",315,45.3%,,Y,Y,,"$13,465",1.45,$6.20,"$11,218",,,,,,,,,,,,,,,,,,,,,,,
Bradford Area,13823,2,Bradford,,USA,PA,Mid-Atlantic,"$9,327,676",Very Small,"1,654","$7,752,483","1,686","$5,574,408",622,71.9%,,,,,"$5,639",1.40,$11.36,"$5,774",,,,,,,,,,,,,,,,,,,,,,,
Topeka Firemen's,63042,2,Topeka,,USA,KS,South Central,"$9,314,752",Very Small,995,"$6,476,284","1,162","$5,378,250",365,83.0%,,,,,"$9,362",1.53,$6.48,"$7,763",,,,,,,,,,,,,,,,,,,,,,,
K G C,13802,2,Knox,,USA,PA,Mid-Atlantic,"$9,311,046",Very Small,"1,688","$8,406,297","2,765","$4,206,424",642,50.0%,,,,,"$5,516",2.02,$16.99,"$3,702",,,,,,,,,,,,,,,,,,,,,,,
Solon/chagrin Falls,15451,2,Solon,,USA,OH,Midwest,"$9,291,655",Very Small,712,"$7,394,743",772,"$3,523,405",208,47.6%,,,,,"$13,050",1.38,$12.01,"$11,141",,,,,,,,,,,,,,,,,,,,,,,
Hale County Teachers,15297,2,Plainview,,USA,TX,South Central,"$9,268,978",Very Small,"1,281","$8,115,281","1,520","$5,892,967",627,72.6%,,,,,"$7,236",1.68,-$19.07,"$6,525",,,,,,,,,,,,,,,,,,,,,,,
Dedham Town Employees,15073,2,Dedham,,USA,MA,New England,"$9,266,998",Very Small,"1,033","$8,073,698","1,205","$2,866,416",297,35.5%,,,,,"$8,971",1.45,-$8.99,"$7,284",,,,,,,,,,,,,,,,,,,,,,,
Combined,18474,2,Hot Springs,,USA,AR,South Central,"$9,242,602",Very Small,"1,955","$7,068,175","2,935","$8,138,138",836,115.1%,,,,,"$4,728",1.93,$10.73,"$4,032",,,,,,,,,,,,,,,,,,,,,,,
Industrial Employees,65242,2,Centerville,,USA,IA,Midwest,"$9,239,477",Very Small,912,"$7,357,205","1,499","$5,522,778",603,75.1%,,,,,"$10,131",2.30,$34.61,"$6,127",,,,,,,,,,,,,,,,,,,,,,,
Hmc (nj),23052,2,Flemington,,USA,NJ,Mid-Atlantic,"$9,208,835",Very Small,855,"$8,239,045","1,209","$2,976,716",307,36.1%,,,,,"$10,771",1.77,-$8.65,"$7,398",,,,,,,,,,,,,,,,,,,,,,,
Marion County School Employees,22428,2,Fairmont,,USA,WV,Mid-Atlantic,"$9,205,483",Very Small,931,"$7,469,241","1,491","$3,094,818",311,41.4%,,,,,"$9,888",1.94,-$5.61,"$5,862",,,,,,,,,,,,,,,,,,,,,,,
Sarco,1669,2,Bethlehem,,USA,PA,Mid-Atlantic,"$9,192,460",Very Small,641,"$7,259,705",875,"$6,144,442",307,84.6%,,,,,"$14,341",1.84,$13.57,"$11,340",,,,,,,,,,,,,,,,,,,,,,,
Emerald Credit Association,19047,2,Greenwood,,USA,SC,Southeast,"$9,187,824",Very Small,"1,266","$8,359,124","2,226","$7,001,712",497,83.8%,,,,,"$7,257",2.15,$9.94,"$5,641",,,,,,,,,,,,,,,,,,,,,,,
East Orange Firemens,11014,2,Bloomfield,,USA,NJ,Mid-Atlantic,"$9,178,580",Very Small,772,"$6,788,561",772,"$6,647,195",492,97.9%,,,,,"$11,889",1.64,$52.35,"$10,630",,,,,,,,,,,,,,,,,,,,,,,
Greater Cleveland Community,66860,2,Cleveland,,USA,OH,Midwest,"$9,168,723",Very Small,"2,943","$6,371,652","4,946","$6,814,645","1,591",107.0%,Y,Y,Y,,"$3,115",2.22,$4.26,"$2,017",,,,,,,,,,,,,,,,,,,,,,,
Morrow County,21606,2,Mount Gilead,,USA,OH,Midwest,"$9,165,718",Very Small,"1,090","$7,393,029","1,590","$4,559,667",514,61.7%,,,,,"$8,409",1.93,$13.94,"$5,681",,,,,,,,,,,,,,,,,,,,,,,
Ila 28,19983,2,Pasadena,,USA,TX,South Central,"$9,138,675",Very Small,"1,040","$7,056,764","1,139","$6,449,274",613,91.4%,,,,,"$8,787",1.68,-$5.92,"$7,709",,,,,,,,,,,,,,,,,,,,,,,
Team First,14829,2,Lancaster,,USA,PA,Mid-Atlantic,"$9,132,641",Very Small,829,"$7,729,341","1,429","$3,044,812",306,39.4%,,,,,"$11,016",2.09,-$41.08,"$6,210",,,,,,,,,,,,,,,,,,,,,,,
Cochran County Schools,14166,2,Morton,,USA,TX,South Central,"$9,111,699",Very Small,871,"$7,765,712","1,030","$4,971,087",539,64.0%,,,,,"$10,461",1.80,$2.39,"$8,118",,,,,,,,,,,,,,,,,,,,,,,
Kearny Municipal Employees,10614,2,Kearny,,USA,NJ,Mid-Atlantic,"$9,080,468",Very Small,745,"$6,956,823",751,"$1,025,704",133,14.7%,,,,,"$12,189",1.19,-$29.20,"$9,030",,,,,,,,,,,,,,,,,,,,,,,
Regional Medical Ctr Hopkins Co Emp,21126,2,Madisonville,,USA,KY,Southeast,"$9,067,870",Very Small,"1,449","$8,074,511","2,161","$5,319,421",404,65.9%,,,,,"$6,258",1.77,$23.92,"$5,222",,,,,,,,,,,,,,,,,,,,,,,
Comunidad Latina FCU,24776,2,Santa Ana,,USA,CA,Western,"$9,060,251",Very Small,"1,780","$4,368,316","2,409","$6,526,831",798,149.4%,,,,,"$5,090",1.80,$58.74,"$3,397",,,,,,,,,,Y,,,,,,,,,,,,,
Victoria,3736,2,Victoria,,USA,TX,South Central,"$8,986,677",Very Small,"1,248","$7,893,432","1,975","$4,855,995",620,61.5%,,,,,"$7,201",2.08,-$17.62,"$4,913",,,,,,,,,,,,,,,,,,,,,,,
New Jersey Community,9555,2,Moorestown,,USA,NJ,Mid-Atlantic,"$8,963,507",Very Small,903,"$8,419,443","1,344","$3,210,127",421,38.1%,,,,,"$9,926",1.95,$5.33,"$6,589",,,,,,,,,,,,,,,,,,,,,,,
U-1st Community,10580,2,Carlsbad,,USA,NM,Western,"$8,955,980",Very Small,871,"$7,636,103","1,209","$6,188,591",418,81.0%,,,,,"$10,282",1.87,$24.86,"$8,497",,,,,,,,,,,,,,,,,,,,,,,
Hemingford Community,7210,2,Hemingford,,USA,NE,Midwest,"$8,954,129",Very Small,"1,020","$8,003,437","1,561","$5,300,731",354,66.2%,,,,,"$8,779",1.88,$25.10,"$6,947",,,,,,,,,,,,,,,,,,,,,,,
Marvel City,12837,2,Bessemer,,USA,AL,Southeast,"$8,946,820",Very Small,917,"$7,464,072","1,639","$2,902,301",427,38.9%,,,,,"$9,757",2.25,$22.71,"$5,018",,,,,,,,,,,,,,,,,,,,,,,
Missouri Baptist,64718,2,Jefferson City,,USA,MO,South Central,"$8,944,007",Very Small,941,"$8,307,498","1,385","$6,557,790","1,179",78.9%,,,,,"$9,505",2.72,$8.40,"$5,798",,,,,,,,,,,,,,,,,,,,,,,
Concord,7504,2,New York,Brooklyn,USA,NY,Mid-Atlantic,"$8,908,805",Very Small,630,"$7,907,268",674,"$1,003,876",95,12.7%,Y,Y,Y,,"$14,141",1.22,"$1,060.17","$11,588",,,,,,,,,,,,,,,,,,,,,,,
L. A. Mission,20720,2,San Fernando,,USA,CA,Western,"$8,862,635",Very Small,958,"$7,974,392",958,"$3,171,478",269,39.8%,,,,,"$9,251",1.28,$11.94,"$9,084",,,,,,,,,,,,,,,,,,,,,,,
Port Of Houston,60782,2,Houston,,USA,TX,South Central,"$8,844,970",Very Small,858,"$6,372,925","1,191","$5,428,680",366,85.2%,,,,,"$10,309",1.81,$42.51,"$7,580",,,,,,,,,,,,,,,,,,,,,,,
Del Met,19390,2,Muncie,,USA,IN,Midwest,"$8,840,433",Very Small,943,"$7,448,361","1,344","$2,022,213",365,27.1%,,,,,"$9,375",1.81,-$28.02,"$5,542",,,,,,,,,,,,,,,,,,,,,,,
Jersey City Police,6944,2,Jersey City,,USA,NJ,Mid-Atlantic,"$8,825,648",Very Small,"1,047","$7,010,477","1,047","$2,237,534",400,31.9%,,,,,"$8,429",1.38,-$5.17,"$6,391",,,,,,,,,,,,,,,,,,,,,,,
U.f.c.w. Local 23,21956,2,Canonsburg,,USA,PA,Mid-Atlantic,"$8,817,493",Very Small,"1,628","$7,408,253","2,126","$3,643,271",309,49.2%,,,,,"$5,416",1.50,$32.57,"$4,539",,,,,,,,,,,,,,,,,,,,,,,
Fayette,12310,2,Mount Hope,,USA,WV,Mid-Atlantic,"$8,815,799",Very Small,839,"$6,427,146","1,064","$4,088,867",301,63.6%,,,,,"$10,508",1.63,-$5.66,"$7,704",,,,,,,,,,,,,,,,,,,,,,,
Electric Machinery Employees,63988,2,Minneapolis,,USA,MN,Midwest,"$8,779,244",Very Small,929,"$6,479,524","1,022","$5,193,693",490,80.2%,,,,,"$9,450",1.63,-$23.35,"$7,720",,,,,,,,,,,,,,,,,,,,,,,
Va Hospital,24429,2,Little Rock,,USA,AR,South Central,"$8,758,782",Very Small,"1,683","$7,648,876","2,486","$6,595,528",443,86.2%,,,,,"$5,204",1.74,$1.80,"$4,863",,,,,,,,,,,,,,,,,,,,,,,
One Thirteen,64340,2,Colorado Spring,,USA,CO,Western,"$8,750,974",Very Small,"1,052","$7,976,905","2,042","$5,480,513",641,68.7%,,,,,"$8,318",2.55,$6.70,"$5,016",,,,,,,,,,,,,,,,,,,,,,,
Priority,18353,2,Russellville,,USA,AR,South Central,"$8,743,242",Very Small,"1,959","$7,784,356","2,266","$6,685,547",444,85.9%,,,,,"$4,463",1.38,$4.53,"$5,339",,,,,,,,,,,,,,,,,,,,,,,
Allvac Savings And,60660,2,Monroe,,USA,NC,Southeast,"$8,724,932",Very Small,"1,273","$7,365,861","2,132","$5,398,998",714,73.3%,,,,,"$6,854",2.24,$14.48,"$4,485",,,,,,,,,,,,,,,,,,,,,,,
Cumberland Municipal Employees,24486,2,Cumberland,,USA,RI,New England,"$8,669,410",Very Small,946,"$6,945,664",946,"$3,411,500",294,49.1%,,,,,"$9,164",1.31,$17.47,"$8,353",,,,,,,,,,,,,,,,,,,,,,,
St. Joseph Teachers',67708,2,Saint Joseph,,USA,MO,South Central,"$8,667,264",Very Small,"1,157","$7,889,061","1,408","$3,414,553",446,43.3%,,,,,"$7,491",1.60,$7.89,"$6,097",,,,,,,,,,,,,,,,,,,,,,,
Alexandria Schools Employees,64304,2,Alexandria,,USA,MN,Midwest,"$8,620,145",Very Small,"1,123","$7,199,194","1,124","$8,014,786",469,111.3%,,,,,"$7,676",1.42,$13.16,"$9,551",,,,,,,,,,,,,,,,,,,,,,,
New Orleans Clerk & Checkers,10515,2,Metairie,,USA,LA,Southeast,"$8,616,349",Very Small,"1,094","$7,002,667","1,335","$4,377,591",473,62.5%,,,,,"$7,876",1.65,$37.18,"$6,294",,,,,,,,,,,,,,,,,,,,,,,
A.b.,14879,2,Altoona,,USA,PA,Mid-Atlantic,"$8,605,811",Very Small,741,"$7,355,872","1,496","$4,281,159",306,58.2%,,,,,"$11,614",2.43,$19.90,"$6,458",,,,,,,,,,,,,,,,,,,,,,,
Saker Shop Rite,15370,2,Holmdel,,USA,NJ,Mid-Atlantic,"$8,597,464",Very Small,"1,553","$6,736,744","2,578","$852,930",398,12.7%,,,,,"$5,536",1.92,$5.24,"$2,550",,,,,,,,,,,,,,,,,,,,,,,
Kenosha Police And Firemen's,66410,2,Kenosha,,USA,WI,Midwest,"$8,589,588",Very Small,"1,128","$5,158,243","1,170","$4,232,905",349,82.1%,,,,,"$7,615",1.35,-$10.70,"$6,182",,,,,,,,,,,,,,,,,,,,,,,
C U P,13833,2,Provo,,USA,UT,Western,"$8,586,963",Very Small,720,"$7,001,688","1,510","$6,864,383",657,98.0%,,,,,"$11,926",3.01,-$5.74,"$6,399",,,,,,,,,,,,,,,,,,,,,,,
Cooperative Employees,62502,2,Anadarko,,USA,OK,South Central,"$8,581,084",Very Small,940,"$7,528,019","1,368","$6,250,499",400,83.0%,,,,,"$9,129",1.88,$1.51,"$7,793",,,,,,,,,,,,,,,,,,,,,,,
1st Bergen FCU,24810,2,Hackensack,,USA,NJ,Mid-Atlantic,"$8,553,815",Very Small,"1,734","$4,609,528","3,108","$5,864,054",249,127.2%,,Y,Y,,"$4,933",1.94,$12.75,"$3,120",,,,,,,,,,Y,,,,,,,,,,,,,
"Tappan Community Credit Union, Inc.",96796,2,Mansfield,,USA,OH,Midwest,"$8,549,103",Very Small,814,"$5,975,875","1,177","$4,343,538",439,72.7%,,,,,"$10,503",1.99,-$11.24,"$6,386",,,,,,,,,,,,,,,,,,,,,,,
Alderson Fci,10520,2,Alderson,,USA,WV,Mid-Atlantic,"$8,548,257",Very Small,970,"$6,745,122","1,119","$5,625,253",474,83.4%,,,,,"$8,813",1.64,$66.67,"$7,765",,,,,,,,,,,,,,,,,,,,,,,
Teamsters Local #238,65606,2,Cedar Rapids,,USA,IA,Midwest,"$8,543,252",Very Small,"1,746","$7,973,284","4,781","$3,508,584",372,44.0%,,,,,"$4,893",2.95,-$4.54,"$2,228",,,,,,,,,,,,,,,,,,,,,,,
U F C W Local 1776,15652,2,Plymouth Meetin,,USA,PA,Mid-Atlantic,"$8,538,534",Very Small,"2,904","$7,449,556","3,637","$4,863,667",693,65.3%,,,,,"$2,940",1.49,$16.16,"$2,844",,,,,,,,,,,,,,,,,,,,,,,
L&n Employees,62356,2,Birmingham,,USA,AL,Southeast,"$8,537,810",Very Small,"1,470","$6,755,663","1,577","$5,301,711",446,78.5%,,,,,"$5,808",1.38,-$4.09,"$5,960",,,,,,,,,,,,,,,,,,,,,,,
Texoma,4292,2,Fritch,,USA,TX,South Central,"$8,531,149",Very Small,831,"$6,108,210",884,"$5,402,154",588,88.4%,,,,,"$10,266",1.77,-$19.42,"$7,820",,,,,,,,,,,,,,,,,,,,,,,
Port Of Hampton Roads Ila,22049,2,Norfolk,,USA,VA,Mid-Atlantic,"$8,527,411",Very Small,"1,541","$7,921,745","2,106","$2,844,453",373,35.9%,,,,,"$5,534",1.61,-$5.05,"$4,343",,,,,,,,,,,,,,,,,,,,,,,
Boise Fire Department,82504,2,Boise,,USA,ID,Cascadia,"$8,524,933",Very Small,968,"$7,112,725",984,"$7,632,245",383,107.3%,,,,,"$8,807",1.41,$9.82,"$10,786",,,,,,,,,,,,,,,,,,,,,,,
